,words
171,service flow identifier
172,to go nookleer
173,frequency partition subband count
174,phy energy detection
175,server-side page generation
176,local number portability
177,community antenna television
178,itu jjava applet security
179,distributed (coordination function) interframe space
180,performance issues in networks
181,looking for mr. goodvar
182,computer vision syndrome
183,ITS A D8
184,secondary superframe header
185,speed of light
186,candidate channel determination
187,domain resource record
188,selective translation table
189,telephone number salary
190,hfc hidden terminal problem
191,long fat network
192,radio resource controller
193,centralized authentication controller
194,remote procedure call
195,advanced air interface
196,complementary code keying
197,per hop behavior
198,black box model
199,comparison with vcs
200,payload header suppression mask
201,content and internet traffic
202,esmtp eternity service
203,base station identification server
204,responsive web design
205,under mouse arrest
206,qam quadrature amplitude modulation
207,three a.m. code
208,extensible stylesheet language transformation
209,moving pictures experts group
210,psk psychoacoustic audio encoding
211,see table 8-269
212,stsl master key
213,time of arrival
214,dag data center
215,database front end
216,ethernet jumbo frame
217,known plaintext attack
218,inverse fast fourier transform
219,pusc adjacent subcarrier allocation
220,abi - binary
221,tkip sequence counter
222,static web page
223,vc very small aperture terminal
224,tcp temporary key integrity
225,dos attack dot com era
226,eapol-key confirmation key
227,conjugate data repetition
228,457simple mail transfer protocol
229,mfj michelson-morley experiment
230,encrypt encrypt encrypt mode
231,spoof web site
232,world wide web
233,stream control transmission
234,using a previously cached copy version
235,dmca dmca takedown notice
236,vlan vocal tract
237,crc critique of osi and tcp/ip
238,llc load balancing
239,round trip delay
240,delete block acknowledgment
241,trusted platform module
242,small indulgence syndrome
243,interface data unit
244,downlink time difference of arrival
245,larry the bird
246,bluetooth protocol stack
247,gsm guard band
248,tunnel data unit
249,positive acknowledgement with retransmission
250,traffic indication map
251,counter mode encryption
252,client-side page generation
253,global positioning system
254,qos long retry counter
255,house file hygiene
256,secure sockets layer
257,wired equivalent privacy
258,wifi protected access
259,imts in-band signaling
260,modified final judgment
261,explicit congestion notification
262,high rate direct sequence spread spectrum using the optional packet binary con- volutional coding mode and the optional short preamble and header
263,emote authentication dial-in user service
264,gaussian frequency shift key
265,low-density parity check
266,two-tier affiliate program
267,codebook matrix index
268,neighborhood update request broadcast
269,spanning tree bridge
270,idle mode management
271,xhtml zzipf鈥檚 law
272,digitizing voice signals
273,ul primary fast feedback channel
274,you're breaking up
275,space-frequency block code
276,area border router
277,"clause 18, but not to clause 19"
278,non-real-time polling service
279,squirt the bird
280,carrier sense multiple access
281,enhanced distributed channel access
282,cmts coaxial cable
283,mpeg mpeg compression
284,clock comparison value
285,institute of electrical and electronics engineers
286,asynchronous transfer mode
287,snr social issues
288,triple data encryption standard
289,structured p2p network
290,server has no dns entry
291,day 2 project
292,mpls mu law
293,amplitude shift keying
294,discrete cosine transformation
295,restricted access window
296,distance vector routing
297,primary superframe header
298,metropolitan area network
299,broadcast control channel
300,national security/emergency preparedness
301,manet markup language
302,dead tree edition
303,bob's your uncle
304,multiple access with collision avoidance
305,delivery traffic indication message
306,persistent and nonpersistent csma
307,cell loss priority
308,fix it in post
309,first-generation mobile phone
310,store-and-forward packet switching
311,announcement traffic indication message
312,trellis coded modulation
313,scroll (and) scroll bar
314,destination service access point
315,earth exploratory satellite systems
316,above the fold
317,datagram congestion control
318,subchannel selective transmission
319,first in first out
320,chosen plaintext attack
321,rohc root name server
322,kfy -or- k4y
323,independent basic service set
324,mirroring a web site
325,peer mac address
326,gpon gratuitous arp
327,mbs authorization key
328,short-packet mac header
329,cache arp dns
330,medium-earth orbit satellite
331,differentiated services code point
332,multicast and broadcast services
333,key distribution center
334,csma with collision detection
335,transmission control protocol persistence timer
336,cyclic redundancy check
337,heat-seeking work force
338,passive optical network
339,simultaneous transmit and receive relaying
340,european conference of postal and telecommunications administrations
341,cipher-based message authentication code
342,arq aspect ratio
343,cancelable with no short rate
344,interior gateway protocol
345,class b network
346,lata layer application
347,group temporal key
348,joint photographic experts group
349,clear to send
350,audio storage unit
351,certificate revocation list
352,uniform resource name
353,lcp leaky bucket algorithm
354,storage area network
355,middle school dance
356,aodv apocalypse of the two elephants
357,medical bands) iso isp network
358,txop ubiquitous computing
359,renting resource unit
360,below the fold
361,least significant bit
362,apsd arbitration interframe space
363,periodic restricted access window
364,serving gprs support node
365,full usage of subchannels
366,nonextended rate phy conforming to clause 15
367,address resolution protocol
368,the real world
369,subnet internet protocol
370,710h.compared to sip
371,end of multi-user
372,public-key authentication using
373,linear feedback shift register
374,amps analog-to-digital converter
375,synchronous transport signal-1
376,bailey the switcher
377,border gateway protocol
378,multichannel multipoint distribution service
379,search engine submission
380,indexextensible markup language
381,unscheduled automatic power-save delivery
382,deregistration with context retention
383,macro diversity handover
384,architecture and services
385,lossless audio compression
386,multipurpose internet mail extension
387,partial usage of subchannels
388,add traffic stream
389,pretty good privacy
390,wide area network
391,contiguous resource unit
392,car navigation system
393,hybrid fiber coax
394,3gpp 4b/5b encoding
395,adc additive increase multiplicative decrease law
396,netscape color palette
397,osi out-of-band signaling
398,notice and take down
399,quadrature amplitude modulation
400,fixed satellite service
401,error vector magnitude
402,interactive message board
403,for access points
404,non-extended rate phys conforming to clause 15
405,zero bug release
406,nap nat box
407,modulation coding scheme
408,rivest shamir adleman
409,multithreaded web server
410,voip walled garden
411,nonpersistent web cookie
412,cipher-block chaining message authentication code
413,cto in business
414,automatic timing correction
415,mva no pi
416,synthetic aperture radar
417,ios - organization
418,physical resource unit
419,drink the kool-aid
420,effective isotropic radiated power
421,transport service user
422,backward learning algorithm
423,unshielded twisted pair
424,geo geostationary earth orbit
425,initiator mac address
426,spatial division multiple access
427,jpeg jpeg standard
428,cgi chain of trust
429,code division multiplexing
430,programming in word
431,mospf motion picture experts group
432,angry garden salad
433,boil the ocean
434,fiber to the home
435,1-bit sliding window
436,forwarding equivalence class
437,universal mobile telecommunications system
438,ctr with cbc-mac
439,online job searching
440,aal abstract syntax notation 1
441,bellman-ford routing algorithm
442,m2m multicast connection identifier
443,command line weenie
444,exterior gateway protocol
445,home subscriber server
446,public switched telephone
447,"cheaper, faster, better"
448,integrity check value
449,basement area network
450,distribution system service data unit
451,third-generation mobile phone network
452,average time per page request
453,specification and description language
454,algorithm adaptive routing
455,direct acyclic graph
456,unstructured p2p network
457,ip ip address
458,alternate mark inversion
459,indexopen shortest path first
460,acl active server page
461,point coordination function
462,198cca cable headend
463,handover hard-decision decoding
464,active server pages
465,receiver delay spread clearing interval
466,broadcast/multicast transmit sequence counter
467,trivial file transfer protocol
468,rpc rto (see retransmission timeout
469,634rra radio access network
470,dix ethernet standard
471,vulcan nerve pinch
472,jvm kkarn鈥檚 algorithm
473,longest matching prefix
474,multipoint distribution service
475,ribs 'n' dick
476,equivalent isotropically radiated power
477,x window system
478,hypertext transfer protocol
479,psdu length word
480,congestion control convergence
481,ring resilient packet
482,most significant bit
483,heavy internet user
484,reliable byte stream
485,sonet source port
486,attribute cryptographic certificate
487,unified scaling factor
488,circling the drain
489,minimum a-map logical resource unit
490,hydraulics of the situation
491,jsp jumbo frame
492,de jure standard
493,grant management subheader
494,encryption key sequence
495,portable wireless data
496,interference sensitivity level
497,meta search engine
498,friday night pizza maker
499,unlicensed national information infrastructure
500,privacy key management
501,dvmrp dwell time
502,adjacent channel leakage ratio
503,build it and they will come
504,red brick intelligent sql
505,dct de facto standard
506,atm atm adaptation layer 5
507,cascading style sheet
508,offset length bitmap
509,specific spectrum user
510,field of view
511,orthogonal frequency division multiple access
512,token bucket algorithm
513,"hcca, edca mixed mode"
514,blow a buffer
515,pseudo random binary sequence
516,uncoordinated coexistence protocol
517,sla sliding window
518,provided by transport layer
519,throw it over the wall
520,e-mail channel specialist
521,private key ring
522,raw parameter set
523,space time coding
524,massage the data
525,cck modulation under clause 19 rules
526,time-division transmit and receive relaying
527,slow start threshold
528,indexism (see industrial
529,monoalphabetic substitution cipher
530,encapsulating security payload
531,sub 1 ghz
532,midair passenger exchange
533,abstract syntax notation one
534,hemming and hawing
535,non line of sight
536,input intercept point of third order
537,credit token-based coexistence
538,syn flood attack
539,tsap tunnel mode
540,user datagram protocol
541,"april 14, 2000"
542,soho-south of houston
543,angle of arrival
544,guided transmission media
545,wep white space
546,keystream reuse attack
547,"industrial, scientific, and medical"
548,value chain management
549,subband allocation count
550,device driver interface
551,non-ap qos stations that use automatic power-save delivery
552,password authentication procedure
553,visitor location register
554,ewma expedited forwarding
555,real time chat
556,cidr cintent delivery network
557,collaborative spatial multiplexing
558,fair use doctrine
559,nth interference evaluation burst over all the ss associated with a bs
560,response indication deferral
561,bucket brigade attack
562,aliasing and anti-aliasing
563,dhcp diagonal basis
564,statistical time division multiplexing
565,asymmetric digital subscriber line
566,pain in the net
567,service-specific scheduling control header
568,high-speed unlicensed metropolitan area network
569,wimax wimax forum
570,retrospective on ethernet
571,organizationally unique identifier
572,tree walk protocol
573,html reference library
574,hot potato routing
575,yuppie food coupon
576,forward error correction
577,client side on the web
578,low-earth orbit satellite
579,ranging cyclic prefix
580,bit error ratio
581,dedicated advertiser location
582,layer management entity
583,dnssec document object model
584,sliding window protocol
585,single mac protocol data unit
586,fractional frequency reuse
587,ptt (see post
588,implementation under test
589,normalized interference power
590,db dcf interframe spacing
591,i h8 it
592,transmit/receive transition gap
593,hook and book
594,cost per click
595,telegraph & telephone administration) public switched telephone network
596,fifo file transfer protocol
597,bipolar belief system
598,ipsec ipv(see internet protocol
599,directed acyclic graph
600,request to send
601,des design issues data link layer
602,hashed message authentication code
603,silly window syndrome
604,pilot stream index
605,additional authentication data
606,federal communications commission
607,richard petty syndrome
608,kdc keepalive timer
609,pseudo-random number generator
610,third-party web cookie
611,pn code correlation strength
612,high-performance radio local area network
613,deep domain expertise
614,446deficit round robin
615,application server solution
616,peak to average power ratio
617,label switched router
618,moderated mailing list
619,lossy audio compression
620,weighted fair queueing
621,ppp ppp over atm
622,dense wavelength division multiplexing
623,full-on honkey handshake
624,"fault management, configuration management, account management, performancemanagement, security management"
625,carpal tunnel syndrome
626,I <3 U
627,juice a brick
628,bandwidth allocation/ access
629,video on demand
630,haiku poetry error messages
631,lbr and lgr
632,rfid rfid backscatter
633,high-level data link control
634,pulse code modulation
635,all your base are belong to us
636,measurements of network performance
637,kid sibling management
638,transmitting station address
639,kids and cabernet
640,tile usage of subchannels
641,sand hill road
642,vod voice over ip
643,unsolicited grant service
644,murphy's laws on technology
645,queer the deal
646,sts- stub client
647,infrared data association
648,second-generation mobile phone
649,internetworking network layer
650,ggsn gigabit ethernet
651,line of sight
652,host design for fast networks
653,sctp second-generation mobile phone network
654,frequency-hopping spread spectrum
655,of the csi message
656,eating your own dog food
657,plastic pocket-protector set
658,epidermal electronic systems
659,exposed terminal problem
660,umts unchoked peer
661,csi transmission gap
662,parts per million
663,consumer experience manager
664,tier 1 isp
665,closed subscriber group
666,switched virtual circuit
667,blue screen of death
668,fcfs fiber distributed data interface
669,technology gone awry
670,fast-feedback allocation subheader
671,320pan parallel connection
672,indexmobile code security
673,total converted users
674,multiprotocol label switching
675,freshness of messages
676,advertisement discovery policy descriptor
677,nfc node b
678,maho mail server
679,general packet radio service
680,serial line internet protocol
681,first-in first-out packet scheduling
682,bell operating company
683,organic search results
684,transmit power control
685,pon port destination
686,dsl duplicate acknowledgement
687,source service access point
688,cellular base station
689,a ip-header-compression cs pdu format
690,promiscuous mode ethernet
691,draft international standard
692,country withheld content
693,wavelength division multiplexing
694,fragment sequence number
695,wcdma wearable computer
696,ras rate adaptation
697,permuted physical resource unit
698,history of the internet
699,gmsc go-back-n protocol
700,adsl advanced audio coding
701,hose and close
702,bgp big-endian computer
703,initialization coexistence signaling interval
704,exponentially weighted moving average
705,hyperbolic congruence codes
706,session initiation protocol
707,wideband code division multiple access
708,lick your lips
709,ami amplitude shift keying
710,dom domain collision
711,initial connection protocol
712,multihop relay base station
713,crash test dummies
714,shortest path routing
715,not found 404
716,receiving station address
717,nsa line eater
718,proof of failure
719,anchor switch reporting
720,tkip-mixed transmit address and key
721,temporal key integrity protocol
